Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyMatch(message, ""Thank you for your order!"", true)",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:56,05-07-2025 17:28:56,"0,072s",PASSED
,,,,,,,
Test Cases/CheckoutValidationError,Edge Chromium 138.0.3351.65,"1. Login and add one item to the cart. 
2. Proceed to checkout. 
3. Leave First Name, Last Name, or Zip Code field empty. 
4. Click Continue. 
5. Verify that an appropriate error message appears.",,05-07-2025 17:28:56,05-07-2025 17:29:07,"11,502s",PASSED
"openBrowser("""")",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:56,05-07-2025 17:28:59,"3,197s",PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Edge Chromium 138.0.3351.65,,,05-07-2025 17:28:59,05-07-2025 17:29:00,"0,825s",PASSED
"click(findTestObject(""Object Repository/CheckoutValidationError/Page_Swag Labs/div_Swag Labs_login_button_container""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:29:00,05-07-2025 17:29:02,"1,912s",PASSED
"setText(findTestObject(""Object Repository/CheckoutValidationError/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Edge Chromium 138.0.3351.65,,,05-07-2025 17:29:02,05-07-2025 17:29:03,"0,694s",PASSED
"setEncryptedText(findTestObject(""Object Repository/CheckoutValidationError/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Edge Chromium 138.0.3351.65,,,05-07-2025 17:29:03,05-07-2025 17:29:03,"0,359s",PASSED
"sendKeys(findTestObject(""Object Repository/CheckoutValidationError/Page_Swag Labs/input_Swag Labs_password""), Keys.chord(ENTER))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:29:03,05-07-2025 17:29:03,"0,398s",PASSED
"click(findTestObject(""Object Repository/CheckoutValidationError/Page_Swag Labs/button_Add to cart""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:29:03,05-07-2025 17:29:04,"0,463s",PASSED
"click(findTestObject(""Object Repository/CheckoutValidationError/Page_Swag Labs/a_1""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:29:04,05-07-2025 17:29:04,"0,533s",PASSED
"click(findTestObject(""Object Repository/CheckoutValidationError/Page_Swag Labs/button_Checkout""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:29:04,05-07-2025 17:29:05,"0,552s",PASSED
"click(findTestObject(""Object Repository/CheckoutValidationError/Page_Swag Labs/input_Cancel_continue""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:29:05,05-07-2025 17:29:06,"0,569s",PASSED
"click(findTestObject(""Object Repository/CheckoutValidationError/Page_Swag Labs/h3_Error First Name is required""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:29:06,05-07-2025 17:29:06,"0,532s",PASSED
"h3Error = getText(findTestObject(""Object Repository/CheckoutValidationError/Page_Swag Labs/h3_Error First Name is required""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:29:06,05-07-2025 17:29:06,"0,288s",PASSED
"click(findTestObject(""Object Repository/CheckoutValidationError/Page_Swag Labs/div_Error First Name is required""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:29:06,05-07-2025 17:29:07,"0,298s",PASSED
"divError = getText(findTestObject(""Object Repository/CheckoutValidationError/Page_Swag Labs/h3_Error First Name is required""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:29:07,05-07-2025 17:29:07,"0,254s",PASSED
"click(findTestObject(""Object Repository/CheckoutValidationError/Page_Swag Labs/button_Error First Name is required_error-button""))",Edge Chromium 138.0.3351.65,,,05-07-2025 17:29:07,05-07-2025 17:29:07,"0,345s",PASSED
"verifyMatch(h3Error, ""Error: First Name is required"", true)",Edge Chromium 138.0.3351.65,,,05-07-2025 17:29:07,05-07-2025 17:29:07,"0,007s",PASSED
println(h3Error),Edge Chromium 138.0.3351.65,,,05-07-2025 17:29:07,05-07-2025 17:29:07,"0,007s",PASSED
println(divError),Edge Chromium 138.0.3351.65,,,05-07-2025 17:29:07,05-07-2025 17:29:07,"0,003s",PASSED
"verifyMatch(divError, ""Error: First Name is required"", true)",Edge Chromium 138.0.3351.65,,,05-07-2025 17:29:07,05-07-2025 17:29:07,"0,005s",PASSED
